date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:05	32915/32915	---MCZ	200	added ('OK')	text/html	etag:W/%2216fe320-8093-5800ba3590783%22	http://frenify.com/envato/marketify/html/arlo/1/index-3.html	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/index-3.html	(from )
16:10:05	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202019%2010:33:50%20GMT	http://frenify.com/robots.txt		(from )
16:10:06	3103/3103	---MC-	200	added ('OK')	text/css	date:Sat,%2006%20Apr%202019%2010:40:05%20GMT	https://fonts.googleapis.com/css?family=Montserrat:400,400i,500,500i,600,600i,700,700i,800,800i,900,900i	/home/prasad/websites/personal%20site%20template/fonts.googleapis.com/css136c.css	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:07	2009/2009	---MC-	200	added ('OK')	text/css	date:Sat,%2006%20Apr%202019%2010:40:06%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,400i,600,600i,700,700i,800,800i	/home/prasad/websites/personal%20site%20template/fonts.googleapis.com/css67e2.css	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:07	105510/105510	---M-Z	200	added ('OK')	text/css	etag:W/%2216fe2ce-19c26-57fe63e20ed82%22	http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/css/plugins.css	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:08	67828/67828	---M-Z	200	added ('OK')	text/css	etag:W/%2216fe2cf-108f4-5804297729b1c%22	http://frenify.com/envato/marketify/html/arlo/1/css/style.css	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/css/style.css	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:09	1348/1348	---M--	200	added ('OK')	image/png	etag:%2216fe2f0-544-58033195949a7%22	http://frenify.com/envato/marketify/html/arlo/1/img/logo/mobile_logo.png	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/logo/mobile_logo.png	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:10	6449/6449	---M--	200	added ('OK')	image/png	etag:%2216fe229-1931-57fb6656d5194%22	http://frenify.com/envato/marketify/html/arlo/1/img/logo/desktop-logo.png	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/logo/desktop-logo.png	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:14	5270/5270	---M--	200	added ('OK')	image/jpeg	etag:%2216fe21b-1496-57fb659df3b1a%22	http://frenify.com/envato/marketify/html/arlo/1/img/about/550x640.jpg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/about/550x640.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:14	55980/55980	---M--	200	added ('OK')	image/jpeg	etag:%2216fe227-daac-57fb66507a678%22	http://frenify.com/envato/marketify/html/arlo/1/img/hero/img.jpg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/hero/img.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:16	33021/33021	---MCZ	200	added ('OK')	text/html	etag:W/%2216fe215-80fd-5800ba34d863a%22	http://frenify.com/envato/marketify/html/arlo/1/index.html	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/index.html	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
